NUM_DEP;NOM_COM;CD_ME_niv1_surf;CD_ME_v2;CD_STATION;INDEX_STATION;NUM_COM;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014;CD_STATION_;LAT_WSG84;LONG_WSG84
69;SAINT-IGNY-DE-VERS;GG043;GG043;06492X0010/N3;9870;69209;AELB;750.0;;Hors RCS et RCO;;;;;;;;oui;;;;;;06492X0010/N3;4.42007498521;46.2336818064
69;SAINT-JACQUES-DES-ARRETS;DG611;DG611;06494X0015/HY;9872;69210;AERM&C;700.0;;Hors RCS et RCO;;;;;;oui;;;;;;;;06494X0015/HY;4.6175630309;46.2584131743
69;SAINT-JEAN-D'ARDIERES;DG397;DG225;06505X0078/F5;9873;69211;AERM&C;178.0;78;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;;oui;oui;oui;oui;oui;oui;06505X0078/F5;4.74967505394;46.1220751637
69;SAINT-LAURENT-DE-MURE;DG334;;07231X0264/F;9918;69288;AERM&C;245.0;50;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;;07231X0264/F;5.05224306537;45.6719202048
69;SAINT-PIERRE-DE-CHANDIEU;DG334;;07224X0142/P;9919;69289;AERM&C;223.0;;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;;07224X0142/P;5.03274301865;45.6421735113
69;SAINT-PIERRE-DE-CHANDIEU;DG334;;07224X0144/P;9920;69289;AERM&C;226.0;73.2;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;;07224X0144/P;5.02107668201;45.6573255827
69;SAINT-PRIEST;DG334;;07223X0131/P;9921;69290;AERM&C;191.0;22;Hors RCS et RCO;;;;;;oui;oui;;;;;;;07223X0131/P;4.97039569861;45.6854842848
69;SAINT-PRIEST;DG334;;07223X0134/P;9922;69290;AERM&C;210.0;117;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;;07223X0134/P;4.91956026734;45.6978420979
69;SAINT-PRIEST;DG334;DG334;07224A0174/FESSAI;9923;69290;AERM&C;222.0;45;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;;07224A0174/FESSAI;4.95317477744;45.6904296311
69;SAINT-ROMAIN-EN-GAL;DG395;;07463X0038/S;9874;69235;AERM&C;152.0;12;Hors RCS et RCO;;;;;;oui;oui;oui;;;;;;07463X0038/S;4.82686033833;45.5505392304
69;SAINT-SYMPHORIEN-D'OZON;DG334;;07223C0107/F5;9924;69291;AERM&C;180.0;;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;;07223C0107/F5;4.8762735458;45.6397409591
69;TERNAY;DG395;DG395;07226A0240/N2;9925;69297;AERM&C;155.3;20.8;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;;07226A0240/N2;4.77787211577;45.5879763502
69;TERNAY;DG395;DG395;07226A0241/N3;9926;69297;AERM&C;155.3;20.1;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;oui;;;;;;07226A0241/N3;4.78041691808;45.5883800641
69;TERNAY;DG395;DG395;07226A0260/N4;9928;69297;AERM&C;155.3;25.3;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;oui;;;;;;07226A0260/N4;4.78624865839;45.5887617855
69;TERNAY;DG395;DG395;07226A0261/N5;9927;69297;AERM&C;155.3;23.6;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;oui;;oui;oui;oui;oui;oui;oui;07226A0261/N5;4.78380112321;45.5919265488
69;THEIZE;DG503;DG503;06738X0013/SO;9875;69246;AERM&C;500.0;;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;;oui;oui;oui;oui;oui;oui;oui;06738X0013/SO;4.61924451181;45.9362091274
