CAS;Type
4234-79-1;O
42509-80-8;O
42576-02-3;U
42588-37-4;O
42609-52-9;III
42609-73-4;U
42874-03-3;U
4301-50-2;O
43121-43-3;II
43222-48-6;II
4482-55-7;O
4489-31-0;O
4636-83-3;O
465-73-6;O
4658-28-0;O
467-69-6;U
470-90-6;Ib
4726-14-1;O
4824-78-6;O
4849-32-5;O
485-31-4;O
495-73-8;O
50-00-0;FM
50-29-3;II
50-31-7;II
50-65-7;U
500008-45-7;U
502-39-6;O
502-55-6;O
50471-44-8;U
50512-35-1;II
50563-36-5;II
50594-66-6;II
507-60-8;O
51-03-6;U
510-15-6;O
51218-45-2;III
51218-49-6;U
51235-04-2;II
513-77-9;O
51308-54-4;O
5131-24-8;O
51487-69-5;O
51630-58-1;II
51707-55-2;III
52-51-7;II
52-68-6;II
52-85-7;Ib
5221-53-4;III
52304-36-6;U
52315-07-8;II
52315-07-8;Ib
5234-68-4;III
5259-88-1;III
52645-53-1;II
52888-80-9;II
52918-63-5;II
53112-28-0;III
532-34-3;O
533-74-4;II
53369-07-6;II
534-52-1;Ib
535-89-7;O
53780-34-0;II
54-11-5;Ib
542-75-6;FM
54406-48-3;III
54593-83-8;Ia
54864-61-8;O
55-38-9;II
55179-31-2;U
55219-65-3;II
55283-68-6;U
55285-14-8;II
55290-64-7;II
55335-06-3;II
555-37-3;U
55511-98-3;O
55512-33-9;III
556-22-9;O
556-61-6;II
55634-91-8;III
55814-41-0;U
55861-78-4;II
5598-13-0;III
56-35-9;O
56-38-2;Ia
56-72-4;Ib
56073-07-5;Ia
56073-10-0;Ia
563-12-2;II
56425-91-3;II
57-24-9;Ib
57-74-9;II
57018-04-9;U
57052-04-7;O
5707-69-7;O
57130-91-3;O
57369-32-1;II
57375-63-0;O
57646-30-7;II
57754-85-5;III
57837-19-1;II
5787-96-2;Ib
57966-95-7;II
58-89-9;II
58011-68-0;U
58138-08-2;O
5827-05-4;O
5834-96-8;O
5836-10-2;O
5836-29-3;Ib
584-79-2;II
584-79-2;II
58667-63-3;O
58810-48-3;III
590-28-3;O
5902-51-2;U
5915-41-3;III
592-01-8;Ia
59669-26-0;II
59756-60-4;U
60-51-5;II
60-57-1;O
60168-88-9;III
60207-31-0;II
60207-90-1;II
60207-93-4;O
60568-05-0;O
608-73-1;II
61-82-5;U
61213-25-0;III
61432-55-1;II
6164-98-3;O
62-38-4;Ia
62-73-7;Ib
62-74-8;Ia
62610-77-9;II
62850-32-2;II
62865-36-5;U
62924-70-3;U
63-25-2;II
63278-33-1;O
63284-71-9;II
63333-35-7;Ia
6392-46-7;O
63935-38-6;U
640-15-3;Ib
640-19-7;Ib
64249-01-0;II
64257-84-7;II
644-64-4;O
64491-92-5;O
64628-44-0;U
64902-72-3;U
650-51-1;III
65907-30-4;Ib
65934-95-4;O
66-81-9;O
66063-05-6;U
6616-80-4;O
66215-27-8;III
66230-04-4;II
66246-88-6;III
66332-96-5;U
66841-25-6;II
66952-49-6;II
671-04-5;O
67129-08-2;III
67306-00-7;II
67375-30-8;II
67485-29-4;II
67564-91-4;III
67747-09-5;II
68038-71-1;III
68085-85-8;II
682-80-4;O
68228-20-6;O
68359-37-5;Ib
68505-69-1;III
6923-22-4;Ib
69309-47-3;O
69327-76-0;III
69335-91-7;O
69377-81-7;U
69409-94-5;O
69581-33-5;O
69806-34-4;II
6988-21-2;O
70124-77-5;Ib
70193-21-4;O
7055-03-0;O
7085-19-0;II
709-98-8;II
71048-99-2;II
71422-67-8;U
71561-11-0;II
7159-99-1;O
71626-11-4;III
7187-36-7;O
72-20-8;O
72-43-5;U
72-54-8;O
72178-02-0;II
7287-19-6;III
7292-16-2;O
731-27-1;U
732-11-6;II
73250-68-7;U
73886-28-9;O
74-83-9;FM
74-90-8;FM
74051-80-2;III
74070-46-5;U
741-58-2;II
74115-24-5;III
74223-56-6;U
74223-64-6;U
7446-18-6;Ib
74712-19-9;U
74738-17-3;U
74782-23-3;U
7487-94-7;Ia
75-15-0;O
75-21-8;FM
75-60-5;II
75-99-0;U
7547-66-2;II
756-09-2;U
75736-33-3;O
759-94-4;II
76-03-9;II
76-06-2;FM
76-44-8;O
76-87-9;II
76578-12-6;II
76608-88-3;O
76674-21-0;II
76738-62-0;II
7681-49-4;O
7681-93-8;III
7696-12-0;U
77-06-5;U
7700-17-6;O
7704-34-9;III
77458-01-6;II
77501-60-1;II
7758-98-7;II
7773-06-0;III
77732-09-3;II
7775-09-9;II
7778-44-1;Ib
7784-40-9;Ib
7784-46-5;Ib
78-34-2;O
78-57-9;O
78-87-5;O
7803-51-2;FM
78587-05-0;U
786-19-6;O
79-11-8;III
79127-80-3;U
79277-27-3;U
79538-32-2;Ib
79983-71-4;III
80-06-8;O
80-33-1;O
80-38-6;O
8001-35-2;O
8003-05-2;O
8003-34-7;II
80060-09-9;III
8018-01-7;U
8051-02-3;O
8065-36-9;O
80844-07-1;U
81-81-2;Ib
81-82-3;O
81-84-5;O
81334-34-1;U
81335-37-7;U
81335-77-5;U
81405-85-8;U
81412-43-3;II
81777-89-1;II
82-66-6;Ia
82-68-8;U
82097-50-5;U
82110-72-3;O
82211-24-3;U
82558-50-7;U
82560-54-1;II
82657-04-3;II
83-26-1;O
83-59-0;O
83-79-4;II
83055-99-6;U
83066-88-0;III
83121-18-0;U
83130-01-2;II
83164-33-4;III
834-12-8;II
83657-22-1;II
83657-24-3;III
83733-82-8;O
84-65-1;U
84-74-2;O
84087-01-4;III
841-06-5;O
84332-86-5;III
84496-56-0;U
85-34-7;O
85509-19-9;II
85785-20-2;III
86-50-0;Ib
86-86-2;U
86-87-3;III
86-88-4;O
86479-06-3;U
86598-92-7;U
87-17-2;O
87-86-5;Ib
87130-20-9;U
87310-56-3;O
87674-68-8;II
87757-18-4;O
87818-31-3;II
87820-88-0;II
88-85-7;O
88283-41-4;III
88485-37-4;II
886-50-0;III
88671-89-0;II
89269-64-7;II
90-43-7;III
900-95-8;II
90035-08-8;Ia
9006-42-2;U
90134-59-1;III
90717-03-6;U
91-20-3;O
919-76-6;O
919-86-8;Ib
92-52-4;III
93-71-0;O
93-72-1;O
93-75-4;O
93-76-5;O
94-74-6;II
94-75-7;II
94-81-5;II
94-82-6;II
94-96-2;O
94050-52-9;U
94361-06-5;II
944-22-9;O
94593-91-6;U
947-02-4;O
95-06-7;O
950-10-7;O
950-37-8;Ib
95465-99-9;Ib
957-51-7;II
95721-12-3;O
95737-68-1;U
96-12-8;O
96-24-2;Ib
96182-53-5;Ia
96489-71-3;II
97-17-6;O
97-23-4;II
973-21-7;II
97886-45-8;U
98389-04-9;U
98730-04-2;U
98967-40-9;U
99-30-9;III
991-42-4;O
99283-00-8;III
99387-89-0;II
999-81-5;II
