;ANNEE;CD_STATION;NBPREL;MOYPTOT;MAXPTOT;MINMOLRECH;MAXMOLRECH;MINMOLQ;MAQMOLQ
9782;2012.0;02296X0013/PR2;4.0;0.035;0.08;394.0;409.0;0.0;1.0
9783;2012.0;02296X0021/HY;5.0;0.01;0.03;394.0;409.0;0.0;2.0
9784;2012.0;02298X0021/HY;5.0;0.004;0.02;394.0;409.0;0.0;1.0
9785;2012.0;02302X0097/HY;4.0;0.3875;0.57;400.0;410.0;5.0;6.0
9786;2012.0;02306X0113/F;2.0;0.0;0.0;409.0;409.0;0.0;0.0
9787;2012.0;02311X0017/F;2.0;0.0;0.0;409.0;409.0;0.0;0.0
9788;2012.0;02313X0042/HY;4.0;0.0425;0.06;400.0;410.0;2.0;3.0
9789;2012.0;02318X0008/F;3.0;0.0;0.0;379.0;409.0;0.0;0.0
9790;2012.0;02323X0049/F;2.0;0.0;0.0;409.0;409.0;0.0;0.0
9791;2012.0;02326X0012/HY;4.0;0.075;0.25;394.0;409.0;0.0;3.0
9792;2012.0;02331X0007/F;4.0;0.0225;0.09;394.0;409.0;0.0;2.0
9793;2012.0;02332X0076/HY;4.0;0.025;0.1;393.0;409.0;0.0;3.0
9794;2012.0;02336X0007/HY;4.0;0.005;0.02;394.0;409.0;0.0;1.0
9795;2012.0;02337X0114/P4;5.0;0.008;0.04;68.0;409.0;0.0;1.0
9796;2012.0;02338X0062/SCE;3.0;0.176666666667;0.25;394.0;410.0;3.0;4.0
9797;2012.0;02341X0046/F6;4.0;0.6625;0.81;400.0;410.0;6.0;7.0
9798;2012.0;02343X0022/F2;5.0;0.096;0.29;68.0;410.0;2.0;4.0
9799;2012.0;02343X0023/F3;5.0;0.066;0.13;68.0;410.0;2.0;3.0
9800;2012.0;02344X0021/F;4.0;0.0325;0.06;394.0;409.0;0.0;3.0
9801;2012.0;02344X0148/P2;6.0;0.0883333333333;0.12;9.0;410.0;1.0;3.0
9802;2012.0;02344X0154/F1-EST;3.0;0.0;0.0;68.0;409.0;0.0;0.0
9803;2012.0;02346X0016/F;4.0;0.0075;0.03;394.0;409.0;0.0;1.0
9804;2012.0;02347X0020/F;2.0;0.04;0.06;409.0;410.0;1.0;2.0
9805;2012.0;02347X0021/F;4.0;0.0325;0.09;394.0;410.0;0.0;5.0
9806;2012.0;02347X0026/F;4.0;0.105;0.24;395.0;410.0;2.0;5.0
9807;2012.0;02347X0152/F;2.0;0.1075;0.165;410.0;411.0;3.0;6.0
9808;2012.0;02381X0006/PE;5.0;0.0934;0.13;89.0;281.0;2.0;3.0
