;CD_STATION;NUM_COM;NOM_COM;NUM_DEP;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;Unité_coord_fictifs;X_FICT_L93;Y_FICT_L93;CD_ME_v2;CD_ME_niv1_surf;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014
10879;06537X0004/F1;74309;VIRY;74;AERM&C;424.0;89;74309_FRDG235_FRDG517;935175.289402;6564463.7174;DG235;DG517;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;
10880;06548X0053/S311A;74311;VIUZ-EN-SALLAZ;74;AERM&C;925.0;;74311_ _FRDG408;960622.326302;6566913.9656;DG408;DG408;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10881;06544X0010/S311D;74311;VIUZ-EN-SALLAZ;74;AERM&C;995.0;;74311_ _FRDG408;963922.036302;6570074.35;DG408;DG408;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10882;06537X0086/P;74314;VULBENS;74;AERM&C;340.0;31.7;74314_FRDG208_FRDG517;927658.536802;6562026.3351;DG235;DG517;Hors RCS et RCO;;;;;;oui;oui;oui;;;;;
10883;00436X0180/F2;76008;ANCOURT;76;AESN;14.0;87;76008_FRHG218_FRHG204;568628.742499;6982509.1336;HG204;HG204;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;oui;oui
10884;00602X0035/F;76029;AUBERMESNIL-AUX-ERABLES;76;AESN;133.0;35;76029_FRHG218_FRHG204;596972.054099;6969964.6591;;HG204;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10885;00608X0210/P;76035;AUMALE;76;AESN;121.27;15.7;76035_FRHG218_FRHG204;610532.303099;6963312.137;;HG204;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10886;00584X0014/F;76051;BACQUEVILLE-EN-CAUX;76;AESN;61.0;55.43;76051_FRHG218_FRHG203;557761.083899;6967198.7362;;HG203;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;
10887;00993X0072/F;76056;BARDOUVILLE;76;AESN;4.0;28.6;76056_FRHG218_FRHG202;548516.551299;6929069.4982;;HG202;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10888;00588X0046/F;76063;BEAUVAL-EN-CAUX;76;AESN;100.0;35;76063_FRHG218_FRHG203;558544.985199;6962731.4457;;HG203;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10889;00606X0081/S;76065;BEAUSSAULT;76;AESN;140.0;7;76065_FRHG218_FRHG204;596598.396799;6956736.0037;HG204;HG204;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;oui;oui;oui;oui;oui;oui;oui
10890;00575X0122/HY;76068;BEC-DE-MORTAGNE;76;AESN;45.0;1.5;76068_FRHG218_FRHG203;517375.645198;6959383.0327;;HG203;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;
10891;00576X0081/F;76068;BEC-DE-MORTAGNE;76;AESN;62.0;35;76068_FRHG218_FRHG203;518231.116698;6960399.2387;;HG203;Hors RCS et RCO;;;;;;;oui;;;;;;
10892;00596X0030/F;76070;BELLENCOMBRE;76;AESN;81.67;15.3;76070_FRHG218_FRHG204;571333.384699;6958540.6057;HG204;HG204;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;oui;oui;oui;oui;oui;oui;oui
10893;00587X0031/HY;76072;BELLEVILLE-EN-CAUX;76;AESN;100.0;9.54;76072_FRHG218_FRHG203;555492.759199;6957427.6173;;HG203;Hors RCS et RCO;;;;;;;oui;;;;;;
10894;00588X0009/F;76075;BELMESNIL;76;AESN;122.0;151.58;76075_FRHG218_FRHG203;559355.561899;6965691.7722;;HG203;Hors RCS et RCO;;;;;;oui;;;;;;;
